sex,age,edu,marital,ls,trust,nofriend,smoke,alcabuse,wkabint,englang,height,weight,income
MALE,27,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,3,YES,NO,NO,NONE,175,97,<=1K
FEMALE,49,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,18,YES,NO,NO,NONE,160,60,<=1K
FEMALE,58,POST-SECONDARY OR HIGHER,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,YES,NO,NO,NONE,162,59,>1K
MALE,30,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,NONE,174,75,>1K
MALE,59,SECONDARY,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,3,YES,YES,NO,NONE,176,68,>1K
FEMALE,26,POST-SECONDARY OR HIGHER,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,ACTIVE,160,58,>1K
FEMALE,35,SECONDARY,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,158,52,>1K
MALE,17,PRIMARY/NO EDUCATION,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,PASSIVE,178,50,<=1K
FEMALE,40,POST-SECONDARY OR HIGHER,DIVORCED,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,8,YES,NO,NO,ACTIVE,159,57,>1K
FEMALE,75,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,15,NO,NO,NO,NONE,162,99,>1K
MALE,21,PRIMARY/NO EDUCATION,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,8,YES,NO,NO,NONE,186,75,<=1K
FEMALE,43,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,NONE,168,67,<=1K
MALE,34,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,10,NO,NO,NO,NONE,184,110,>1K
FEMALE,35,SECONDARY,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,20,NO,NO,NO,NONE,166,53,<=1K
MALE,47,VOCATIONAL/GRAMMAR,MARRIED,MIXED,IT`S DIFFICULT TO TELL,5,YES,NO,NO,NONE,164,64,>1K
MALE,20,SECONDARY,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,4,NO,NO,NO,ACTIVE,182,86,<=1K
MALE,71,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,20,NO,NO,NO,NONE,170,106,<=1K
FEMALE,41,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,160,66,<=1K
MALE,60,SECONDARY,SINGLE,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,NONE,178,75,<=1K
MALE,74,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,NONE,173,76,>1K
FEMALE,52,SECONDARY,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,3,NO,NO,NO,NONE,162,75,>1K
MALE,25,POST-SECONDARY OR HIGHER,SINGLE,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,YES,ACTIVE,186,80,<=1K
MALE,77,PRIMARY/NO EDUCATION,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,180,75,<=1K
FEMALE,20,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,YES,YES,YES,ACTIVE,157,60,<=1K
MALE,40,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,2,YES,NO,NO,NONE,178,82,>1K
FEMALE,31,POST-SECONDARY OR HIGHER,DIVORCED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,NO,ACTIVE,155,63,>1K
MALE,64,POST-SECONDARY OR HIGHER,MARRIED,DELIGHTED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,ACTIVE,165,70,>1K
FEMALE,30,SECONDARY,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,2,NO,NO,NO,PASSIVE,169,60,>1K
FEMALE,27,POST-SECONDARY OR HIGHER,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,1,NO,NO,NO,PASSIVE,170,62,>1K
MALE,24,SECONDARY,SINGLE,PLEASED,IT`S DIFFICULT TO TELL,10,NO,NO,YES,ACTIVE,190,80,<=1K
MALE,83,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,NONE,166,68,>1K
FEMALE,21,SECONDARY,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,PASSIVE,160,60,<=1K
FEMALE,37,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,164,60,<=1K
FEMALE,80,PRIMARY/NO EDUCATION,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,150,80,>1K
MALE,29,POST-SECONDARY OR HIGHER,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,ACTIVE,196,101,>1K
MALE,48,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,180,85,>1K
FEMALE,57,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,158,57,<=1K
MALE,57,SECONDARY,MARRIED,PLEASED,IT`S DIFFICULT TO TELL,10,NO,NO,NO,NONE,178,90,>1K
MALE,55,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,5,YES,NO,NO,NONE,176,90,>1K
FEMALE,75,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,147,67,<=1K
FEMALE,81,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,15,NO,NO,NO,NONE,160,82,>1K
FEMALE,64,SECONDARY,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,156,70,<=1K
FEMALE,19,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,NONE,171,48,<=1K
MALE,30,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,PASSIVE,178,85,>1K
FEMALE,58,POST-SECONDARY OR HIGHER,DIVORCED,MIXED,IT`S DIFFICULT TO TELL,3,NO,NO,YES,NONE,158,72,>1K
FEMALE,20,SECONDARY,SINGLE,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,4,NO,NO,NO,PASSIVE,168,63,<=1K
FEMALE,55,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,156,75,<=1K
FEMALE,75,PRIMARY/NO EDUCATION,DIVORCED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,150,82,<=1K
FEMALE,58,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,1,NO,NO,NO,NONE,155,100,<=1K
FEMALE,45,POST-SECONDARY OR HIGHER,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,ACTIVE,162,64,<=1K
FEMALE,43,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY DISSATISFIED,IT`S DIFFICULT TO TELL,0,YES,YES,NO,NONE,166,66,>1K
MALE,56,PRIMARY/NO EDUCATION,WIDOWED,TERRIBLE,IT`S DIFFICULT TO TELL,1,YES,NO,NO,NONE,172,55,<=1K
MALE,39,PRIMARY/NO EDUCATION,SINGLE,MOSTLY DISSATISFIED,IT`S DIFFICULT TO TELL,5,YES,YES,NO,NONE,182,84,>1K
FEMALE,38,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,YES,NO,NO,NONE,164,70,<=1K
FEMALE,44,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,164,63,>1K
MALE,62,SECONDARY,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,NONE,179,79,>1K
MALE,42,VOCATIONAL/GRAMMAR,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,2,YES,NO,NO,NONE,176,80,>1K
MALE,26,VOCATIONAL/GRAMMAR,SINGLE,MIXED,IT`S DIFFICULT TO TELL,50,NO,NO,NO,NONE,180,90,<=1K
FEMALE,67,POST-SECONDARY OR HIGHER,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,NONE,158,65,>1K
MALE,30,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,10,YES,YES,NO,NONE,165,60,>1K
MALE,39,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,IT`S DIFFICULT TO TELL,5,NO,YES,NO,NONE,180,90,>1K
FEMALE,70,SECONDARY,WIDOWED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,NO,PASSIVE,168,74,>1K
FEMALE,55,SECONDARY,WIDOWED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,1,NO,NO,NO,NONE,170,75,>1K
FEMALE,48,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,YES,NO,NO,NONE,164,58,>1K
MALE,35,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,1,NO,NO,YES,ACTIVE,177,74,>1K
FEMALE,78,PRIMARY/NO EDUCATION,WIDOWED,MIXED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,NONE,158,65,<=1K
MALE,46,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,IT`S DIFFICULT TO TELL,5,NO,NO,NO,PASSIVE,172,80,>1K
MALE,50,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,2,YES,NO,NO,NONE,190,80,<=1K
MALE,44,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,169,104,<=1K
FEMALE,18,SECONDARY,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,ACTIVE,171,54,<=1K
FEMALE,32,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,4,YES,NO,NO,PASSIVE,165,80,<=1K
FEMALE,56,SECONDARY,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,176,88,>1K
MALE,62,PRIMARY/NO EDUCATION,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,NO,NONE,167,70,<=1K
FEMALE,29,SECONDARY,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,20,YES,NO,NO,PASSIVE,170,95,>1K
FEMALE,39,VOCATIONAL/GRAMMAR,WIDOWED,PLEASED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,NONE,160,86,<=1K
MALE,56,PRIMARY/NO EDUCATION,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,20,YES,YES,NO,NONE,176,70,>1K
FEMALE,61,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,15,NO,NO,NO,PASSIVE,164,83,>1K
FEMALE,61,SECONDARY,MARRIED,DELIGHTED,ONE CAN`T BE TOO CAREFUL,15,NO,NO,NO,NONE,162,58,<=1K
FEMALE,86,PRIMARY/NO EDUCATION,WIDOWED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,40,NO,NO,NO,NONE,150,50,<=1K
MALE,52,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,YES,NONE,170,73,>1K
FEMALE,51,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY DISSATISFIED,MOST PEOPLE CAN BE TRUSTED,2,YES,NO,NO,NONE,170,80,<=1K
MALE,24,SECONDARY,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,PASSIVE,180,76,<=1K
MALE,54,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,20,YES,YES,YES,NONE,182,100,>1K
MALE,75,SECONDARY,MARRIED,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,2,NO,NO,NO,NONE,168,83,>1K
FEMALE,70,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,154,80,>1K
FEMALE,40,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,33,NO,NO,NO,NONE,164,60,>1K
MALE,30,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,6,YES,NO,NO,NONE,176,80,>1K
FEMALE,35,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,11,NO,NO,NO,ACTIVE,172,80,>1K
MALE,50,SECONDARY,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,4,NO,NO,NO,NONE,173,77,>1K
MALE,19,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,17,NO,NO,NO,ACTIVE,185,70,<=1K
FEMALE,43,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,162,80,>1K
FEMALE,41,POST-SECONDARY OR HIGHER,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,21,NO,NO,NO,PASSIVE,168,50,>1K
MALE,55,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,NONE,165,84,>1K
FEMALE,43,VOCATIONAL/GRAMMAR,WIDOWED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,164,82,<=1K
MALE,51,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,YES,NO,NO,NONE,180,83,>1K
FEMALE,76,SECONDARY,MARRIED,DELIGHTED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,158,62,<=1K
FEMALE,36,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,4,YES,NO,NO,PASSIVE,165,70,<=1K
FEMALE,29,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,ACTIVE,168,70,<=1K
FEMALE,55,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,156,73,<=1K
MALE,27,POST-SECONDARY OR HIGHER,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,ACTIVE,179,77,>1K
FEMALE,27,SECONDARY,MARRIED,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,4,NO,NO,NO,NONE,162,63,<=1K
FEMALE,50,VOCATIONAL/GRAMMAR,DIVORCED,MIXED,IT`S DIFFICULT TO TELL,4,YES,NO,YES,NONE,156,96,>1K
FEMALE,24,POST-SECONDARY OR HIGHER,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,YES,ACTIVE,170,65,<=1K
FEMALE,63,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,YES,NO,NO,NONE,150,50,>1K
MALE,30,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,PASSIVE,175,80,>1K
FEMALE,59,POST-SECONDARY OR HIGHER,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,NONE,158,85,>1K
FEMALE,25,POST-SECONDARY OR HIGHER,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,7,NO,NO,NO,ACTIVE,168,61,>1K
FEMALE,55,POST-SECONDARY OR HIGHER,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,PASSIVE,156,89,>1K
FEMALE,44,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,YES,NO,NO,NONE,170,80,>1K
FEMALE,56,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,NONE,160,75,<=1K
FEMALE,48,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,3,YES,NO,NO,NONE,160,63,>1K
FEMALE,24,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,YES,ACTIVE,170,54,<=1K
MALE,24,SECONDARY,SINGLE,MOSTLY DISSATISFIED,IT`S DIFFICULT TO TELL,10,NO,NO,YES,PASSIVE,170,80,>1K
MALE,46,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,NONE,168,97,>1K
FEMALE,36,POST-SECONDARY OR HIGHER,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,30,NO,NO,NO,NONE,160,56,>1K
FEMALE,18,SECONDARY,SINGLE,DELIGHTED,IT`S DIFFICULT TO TELL,2,NO,NO,NO,ACTIVE,189,69,<=1K
MALE,27,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,1,YES,NO,YES,NONE,180,80,>1K
FEMALE,19,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,NONE,164,80,<=1K
FEMALE,34,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,12,NO,NO,NO,ACTIVE,166,52,>1K
FEMALE,53,SECONDARY,MARRIED,MIXED,MOST PEOPLE CAN BE TRUSTED,4,NO,NO,NO,NONE,164,73,>1K
MALE,66,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,PASSIVE,175,84,>1K
FEMALE,62,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,170,78,<=1K
FEMALE,51,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,156,53,<=1K
FEMALE,76,PRIMARY/NO EDUCATION,WIDOWED,MIXED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,160,65,>1K
MALE,38,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,8,YES,NO,NO,NONE,187,80,<=1K
FEMALE,37,POST-SECONDARY OR HIGHER,DIVORCED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,PASSIVE,164,60,>1K
MALE,38,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,0,YES,NO,NO,NONE,176,86,<=1K
MALE,52,VOCATIONAL/GRAMMAR,SINGLE,MIXED,IT`S DIFFICULT TO TELL,5,NO,NO,NO,NONE,163,67,<=1K
FEMALE,56,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,3,YES,NO,NO,NONE,152,56,<=1K
MALE,57,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,NONE,175,75,<=1K
FEMALE,43,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,NONE,160,60,>1K
MALE,23,SECONDARY,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,20,NO,NO,NO,ACTIVE,181,85,<=1K
FEMALE,65,VOCATIONAL/GRAMMAR,WIDOWED,PLEASED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,165,72,>1K
MALE,50,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,10,YES,NO,NO,NONE,170,70,>1K
MALE,35,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,YES,NO,YES,NONE,180,96,<=1K
FEMALE,63,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,152,62,<=1K
MALE,47,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,YES,NO,NONE,176,92,<=1K
FEMALE,60,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,153,51,>1K
FEMALE,17,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,ACTIVE,164,55,<=1K
FEMALE,50,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,155,77,<=1K
FEMALE,81,SECONDARY,WIDOWED,PLEASED,ONE CAN`T BE TOO CAREFUL,20,NO,NO,NO,NONE,153,58,>1K
FEMALE,39,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,20,NO,NO,NO,NONE,168,53,<=1K
MALE,69,PRIMARY/NO EDUCATION,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,12,NO,NO,NO,NONE,170,76,<=1K
FEMALE,33,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,ACTIVE,165,53,>1K
MALE,41,POST-SECONDARY OR HIGHER,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,173,80,<=1K
FEMALE,21,SECONDARY,SINGLE,MIXED,IT`S DIFFICULT TO TELL,2,NO,NO,NO,ACTIVE,178,50,>1K
MALE,61,SECONDARY,MARRIED,DELIGHTED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,NONE,182,92,>1K
MALE,76,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,1,NO,NO,NO,NONE,176,72,>1K
FEMALE,54,PRIMARY/NO EDUCATION,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,164,75,<=1K
MALE,42,VOCATIONAL/GRAMMAR,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,182,75,<=1K
FEMALE,36,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,NO,PASSIVE,167,56,<=1K
MALE,42,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,2,NO,YES,YES,ACTIVE,176,98,<=1K
FEMALE,59,SECONDARY,WIDOWED,MIXED,ONE CAN`T BE TOO CAREFUL,10,YES,NO,NO,NONE,164,93,<=1K
FEMALE,74,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,160,78,<=1K
