"sex","age","edu","marital","income","ls","trust","nofriend","smoke","alcabuse","wkabint","englang","height","weight"
"MALE",38,"VOCATIONAL/GRAMMAR","MARRIED",600,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","NO","NONE",180,110
"FEMALE",43,"SECONDARY","MARRIED",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",2,"YES","NO","NO","PASSIVE",159,55
"FEMALE",18,"POST-SECONDARY OR HIGHER","SINGLE",1850,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","ACTIVE",180,75
"FEMALE",68,"PRIMARY/NO EDUCATION","WIDOWED",2000,"MOSTLY DISSATISFIED","IT`S DIFFICULT TO TELL",2,"NO","NO","NO","NONE",158,78
"FEMALE",23,"POST-SECONDARY OR HIGHER","MARRIED",2000,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","PASSIVE",162,65
"FEMALE",35,"VOCATIONAL/GRAMMAR","SINGLE",1330,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",15,"NO","NO","NO","NONE",165,69
"FEMALE",47,"PRIMARY/NO EDUCATION","MARRIED",0,"MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED",5,"NO","NO","NO","NONE",160,66
"MALE",81,"PRIMARY/NO EDUCATION","MARRIED",400,"MIXED","IT`S DIFFICULT TO TELL",0,"YES","NO","NO","NONE",169,82
"MALE",69,"PRIMARY/NO EDUCATION","WIDOWED",2900,"PLEASED","ONE CAN`T BE TOO CAREFUL",7,"YES","YES","NO","NONE",172,110
"MALE",40,"PRIMARY/NO EDUCATION","SINGLE",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",7,"YES","NO","NO","NONE",174,80
"MALE",28,"SECONDARY","DIVORCED",3500,"MIXED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","ACTIVE",188,105
"MALE",42,"SECONDARY","DIVORCED",922,"MIXED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","NONE",176,100
"MALE",28,"POST-SECONDARY OR HIGHER","SINGLE",400,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","PASSIVE",164,72
"MALE",27,"VOCATIONAL/GRAMMAR","SINGLE",1300,"MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED",4,"YES","NO","NO","NONE",184,80
"MALE",56,"SECONDARY","MARRIED",2300,"PLEASED","IT`S DIFFICULT TO TELL",8,"YES","NO","NO","NONE",172,90
"MALE",54,"PRIMARY/NO EDUCATION","MARRIED",1300,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",6,"YES","YES","NO","NONE",165,84
"FEMALE",90,"PRIMARY/NO EDUCATION","WIDOWED",1500,"MIXED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",158,54
"MALE",54,"SECONDARY","MARRIED",1358,"PLEASED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",176,90
"MALE",56,"POST-SECONDARY OR HIGHER","SINGLE",1330,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",181,85
"FEMALE",41,"VOCATIONAL/GRAMMAR","MARRIED",3000,"PLEASED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","NO","NONE",160,60
"FEMALE",34,"VOCATIONAL/GRAMMAR","MARRIED",1700,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",168,92
"FEMALE",55,"PRIMARY/NO EDUCATION","WIDOWED",1050,"PLEASED","MOST PEOPLE CAN BE TRUSTED",6,"NO","NO","NO","NONE",156,70
"FEMALE",52,"PRIMARY/NO EDUCATION","MARRIED",800,"PLEASED","IT`S DIFFICULT TO TELL",8,"NO","NO","NO","NONE",160,68
"FEMALE",48,"POST-SECONDARY OR HIGHER","MARRIED",300,"MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED",2,"NO","NO","NO","ACTIVE",176,69
"FEMALE",63,"PRIMARY/NO EDUCATION","DIVORCED",780,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",0,"YES","NO","NO","NONE",150,72
"MALE",57,"PRIMARY/NO EDUCATION","MARRIED",2500,"DELIGHTED","MOST PEOPLE CAN BE TRUSTED",4,"NO","NO","NO","NONE",170,96
"MALE",22,"VOCATIONAL/GRAMMAR","SINGLE",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",2,"YES","NO","YES","NONE",188,83
"FEMALE",23,"SECONDARY","SINGLE",1000,"PLEASED","ONE CAN`T BE TOO CAREFUL",15,"NO","NO","NO","PASSIVE",156,63
"MALE",50,"SECONDARY","MARRIED",0,"MIXED","ONE CAN`T BE TOO CAREFUL",20,"NO","YES","NO","NONE",175,80
"FEMALE",55,"VOCATIONAL/GRAMMAR","MARRIED",128,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","NONE",158,59
"MALE",52,"PRIMARY/NO EDUCATION","MARRIED",3000,"DELIGHTED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","NONE",186,95
"FEMALE",76,"PRIMARY/NO EDUCATION","DIVORCED",1900,"MOSTLY DISSATISFIED","MOST PEOPLE CAN BE TRUSTED",2,"YES","NO","NO","NONE",156,62
"MALE",28,"SECONDARY","SINGLE",980,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",2,"YES","NO","YES","PASSIVE",172,82
"FEMALE",62,"VOCATIONAL/GRAMMAR","MARRIED",600,"DELIGHTED","ONE CAN`T BE TOO CAREFUL",53,"YES","NO","NO","NONE",162,80
"FEMALE",48,"PRIMARY/NO EDUCATION","MARRIED",680,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",158,62
"FEMALE",72,"SECONDARY","MARRIED",2700,"PLEASED","ONE CAN`T BE TOO CAREFUL",1,"NO","NO","NO","NONE",152,75
"FEMALE",50,"SECONDARY","MARRIED",1300,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","PASSIVE",162,55
"FEMALE",42,"VOCATIONAL/GRAMMAR","MARRIED",700,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",176,109
"FEMALE",58,"VOCATIONAL/GRAMMAR","DIVORCED",640,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","NONE",164,76
"FEMALE",16,"SECONDARY","SINGLE",0,"DELIGHTED","ONE CAN`T BE TOO CAREFUL",4,"YES","NO","NO","ACTIVE",175,60
"MALE",23,"VOCATIONAL/GRAMMAR","SINGLE",0,"DELIGHTED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","NONE",191,100
"FEMALE",55,"POST-SECONDARY OR HIGHER","MARRIED",2500,"PLEASED","ONE CAN`T BE TOO CAREFUL",1,"NO","NO","YES","NONE",161,60
"FEMALE",42,"VOCATIONAL/GRAMMAR","MARRIED",0,"MIXED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",171,68
"MALE",24,"SECONDARY","SINGLE",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","NONE",182,70
"FEMALE",26,"PRIMARY/NO EDUCATION","SINGLE",0,"MIXED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",165,54
"FEMALE",33,"SECONDARY","SINGLE",600,"PLEASED","IT`S DIFFICULT TO TELL",10,"YES","NO","NO","ACTIVE",166,59
"MALE",20,"VOCATIONAL/GRAMMAR","SINGLE",1000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","PASSIVE",190,60
"MALE",30,"VOCATIONAL/GRAMMAR","SINGLE",1100,"PLEASED","ONE CAN`T BE TOO CAREFUL",1,"NO","NO","NO","ACTIVE",180,60
"MALE",51,"VOCATIONAL/GRAMMAR","MARRIED",2200,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"YES","NO","NO","NONE",168,79
"FEMALE",44,"VOCATIONAL/GRAMMAR","MARRIED",1800,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",158,62
"FEMALE",69,"VOCATIONAL/GRAMMAR","WIDOWED",1197,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",8,"YES","NO","NO","NONE",164,74
"MALE",72,"VOCATIONAL/GRAMMAR","MARRIED",2000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",180,90
"FEMALE",68,"POST-SECONDARY OR HIGHER","WIDOWED",3000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",160,52
"MALE",62,"VOCATIONAL/GRAMMAR","MARRIED",900,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",170,82
"FEMALE",20,"POST-SECONDARY OR HIGHER","SINGLE",2000,"MIXED","ONE CAN`T BE TOO CAREFUL",5,"NO","YES","NO","PASSIVE",158,65
"FEMALE",53,"POST-SECONDARY OR HIGHER","MARRIED",500,"MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED",6,"NO","NO","NO","NONE",165,80
"MALE",18,"POST-SECONDARY OR HIGHER","SINGLE",3000,"MIXED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","ACTIVE",178,65
"FEMALE",37,"SECONDARY","SINGLE",700,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","PASSIVE",158,55
"MALE",18,"POST-SECONDARY OR HIGHER","SINGLE",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","ACTIVE",180,75
"FEMALE",53,"POST-SECONDARY OR HIGHER","MARRIED",7000,"PLEASED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",156,70
"FEMALE",29,"PRIMARY/NO EDUCATION","MARRIED",0,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",3,"YES","NO","NO","NONE",173,90
"FEMALE",21,"SECONDARY","SINGLE",500,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",8,"YES","NO","NO","ACTIVE",170,65
"FEMALE",54,"VOCATIONAL/GRAMMAR","MARRIED",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",20,"NO","NO","NO","NONE",160,70
"FEMALE",52,"POST-SECONDARY OR HIGHER","MARRIED",1100,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",162,80
"FEMALE",55,"POST-SECONDARY OR HIGHER","DIVORCED",1520,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","NO","NONE",158,70
"FEMALE",31,"VOCATIONAL/GRAMMAR","MARRIED",300,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",3,"YES","NO","NO","NONE",176,85
"FEMALE",68,"PRIMARY/NO EDUCATION","MARRIED",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","NONE",158,90
"FEMALE",30,"POST-SECONDARY OR HIGHER","DIVORCED",1000,"MIXED","MOST PEOPLE CAN BE TRUSTED",8,"NO","NO","NO","PASSIVE",160,60
"FEMALE",35,"SECONDARY","MARRIED",1800,"MIXED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","ACTIVE",162,52
"FEMALE",75,"VOCATIONAL/GRAMMAR","WIDOWED",2500,"PLEASED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","NONE",166,55
"FEMALE",44,"SECONDARY","MARRIED",200,"PLEASED","ONE CAN`T BE TOO CAREFUL",5,"YES","NO","NO","PASSIVE",160,82
"MALE",19,"SECONDARY","SINGLE",350,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","YES","ACTIVE",197,100
"FEMALE",21,"POST-SECONDARY OR HIGHER","SINGLE",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","ACTIVE",164,63
"MALE",47,"VOCATIONAL/GRAMMAR","MARRIED",3000,"PLEASED","IT`S DIFFICULT TO TELL",10,"YES","NO","NO","NONE",160,60
"FEMALE",18,"VOCATIONAL/GRAMMAR","SINGLE",1200,"MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED",15,"YES","NO","NO","ACTIVE",165,70
"FEMALE",45,"POST-SECONDARY OR HIGHER","MARRIED",2500,"PLEASED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","ACTIVE",175,75
"MALE",46,"VOCATIONAL/GRAMMAR","MARRIED",1500,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"YES","NO","NO","NONE",168,70
"FEMALE",51,"SECONDARY","WIDOWED",3000,"PLEASED","ONE CAN`T BE TOO CAREFUL",15,"NO","NO","NO","NONE",164,67
"FEMALE",21,"SECONDARY","SINGLE",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","PASSIVE",164,56
"MALE",33,"PRIMARY/NO EDUCATION","SINGLE",0,"UNHAPPY","ONE CAN`T BE TOO CAREFUL",40,"NO","NO","NO","PASSIVE",175,69
"MALE",53,"VOCATIONAL/GRAMMAR","MARRIED",2420,"PLEASED","IT`S DIFFICULT TO TELL",4,"NO","NO","NO","NONE",178,105
"MALE",53,"VOCATIONAL/GRAMMAR","MARRIED",800,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"YES","NO","NO","PASSIVE",182,80
"MALE",49,"SECONDARY","MARRIED",6000,"PLEASED","ONE CAN`T BE TOO CAREFUL",1,"YES","YES","NO","NONE",184,100
"MALE",32,"VOCATIONAL/GRAMMAR","MARRIED",1500,"PLEASED","ONE CAN`T BE TOO CAREFUL",9,"NO","NO","NO","NONE",185,80
"FEMALE",57,"PRIMARY/NO EDUCATION","MARRIED",0,"MIXED","MOST PEOPLE CAN BE TRUSTED",10,"YES","NO","NO","NONE",158,80
"MALE",33,"VOCATIONAL/GRAMMAR","MARRIED",0,"MIXED","ONE CAN`T BE TOO CAREFUL",4,"YES","NO","NO","NONE",182,107
"FEMALE",22,"SECONDARY","SINGLE",950,"PLEASED","MOST PEOPLE CAN BE TRUSTED",15,"YES","NO","YES","ACTIVE",160,48
"FEMALE",20,"SECONDARY","SINGLE",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","PASSIVE",175,69
"FEMALE",76,"PRIMARY/NO EDUCATION","DIVORCED",1000,"MIXED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","NO","NONE",156,48
"FEMALE",21,"VOCATIONAL/GRAMMAR","MARRIED",1500,"DELIGHTED","IT`S DIFFICULT TO TELL",2,"YES","NO","NO","NONE",175,76
"FEMALE",22,"POST-SECONDARY OR HIGHER","SINGLE",2200,"DELIGHTED","IT`S DIFFICULT TO TELL",24,"NO","NO","YES","ACTIVE",170,54
"MALE",60,"VOCATIONAL/GRAMMAR","MARRIED",3000,"DELIGHTED","MOST PEOPLE CAN BE TRUSTED",3,"NO","NO","NO","NONE",188,70
"FEMALE",81,"PRIMARY/NO EDUCATION","MARRIED",1950,"PLEASED","MOST PEOPLE CAN BE TRUSTED",15,"YES","NO","NO","NONE",160,76
"MALE",30,"SECONDARY","SINGLE",2500,"PLEASED","MOST PEOPLE CAN BE TRUSTED",15,"NO","NO","NO","PASSIVE",168,78
"MALE",65,"SECONDARY","MARRIED",4100,"PLEASED","ONE CAN`T BE TOO CAREFUL",99,"NO","NO","NO","NONE",176,86
"MALE",22,"VOCATIONAL/GRAMMAR","SINGLE",1200,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","YES","ACTIVE",175,63
"MALE",24,"POST-SECONDARY OR HIGHER","SINGLE",400,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",6,"YES","NO","NO","PASSIVE",176,80
"FEMALE",43,"VOCATIONAL/GRAMMAR","MARRIED",600,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"YES","NO","NO","NONE",168,58
"MALE",37,"VOCATIONAL/GRAMMAR","SINGLE",500,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","NONE",172,73
"FEMALE",55,"VOCATIONAL/GRAMMAR","DIVORCED",2000,"MOSTLY DISSATISFIED","IT`S DIFFICULT TO TELL",0,"NO","NO","NO","NONE",170,69
"MALE",33,"VOCATIONAL/GRAMMAR","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",5,"NO","YES","NO","NONE",175,85
"FEMALE",38,"SECONDARY","SINGLE",800,"MIXED","IT`S DIFFICULT TO TELL",36,"NO","YES","NO","ACTIVE",160,72
"FEMALE",55,"SECONDARY","MARRIED",3650,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",10,"YES","NO","NO","NONE",154,58
"FEMALE",40,"PRIMARY/NO EDUCATION","SINGLE",1222,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",2,"NO","NO","NO","NONE",156,50
"MALE",64,"PRIMARY/NO EDUCATION","MARRIED",2500,"PLEASED","MOST PEOPLE CAN BE TRUSTED",5,"NO","NO","NO","NONE",170,90
"MALE",48,"VOCATIONAL/GRAMMAR","MARRIED",1054,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"YES","NO","NO","NONE",185,92
"FEMALE",62,"PRIMARY/NO EDUCATION","WIDOWED",1200,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",1,"NO","NO","NO","NONE",154,60
"MALE",41,"VOCATIONAL/GRAMMAR","MARRIED",2800,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",185,73
"FEMALE",61,"VOCATIONAL/GRAMMAR","MARRIED",1500,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","NONE",150,80
"FEMALE",34,"SECONDARY","SINGLE",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","NONE",174,94
"FEMALE",33,"VOCATIONAL/GRAMMAR","SINGLE",182,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","ACTIVE",164,72
"FEMALE",60,"PRIMARY/NO EDUCATION","WIDOWED",3000,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",7,"YES","NO","NO","NONE",164,71
"MALE",62,"POST-SECONDARY OR HIGHER","MARRIED",550,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",8,"NO","NO","NO","NONE",182,86
"FEMALE",44,"SECONDARY","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",7,"NO","NO","NO","NONE",165,68
"MALE",21,"VOCATIONAL/GRAMMAR","SINGLE",0,"DELIGHTED","MOST PEOPLE CAN BE TRUSTED",12,"NO","NO","NO","ACTIVE",171,79
"MALE",60,"VOCATIONAL/GRAMMAR","MARRIED",0,"MIXED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","NONE",168,100
"FEMALE",70,"SECONDARY","WIDOWED",950,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",1,"NO","NO","NO","NONE",164,95
"MALE",60,"POST-SECONDARY OR HIGHER","MARRIED",15000,"PLEASED","ONE CAN`T BE TOO CAREFUL",1,"YES","YES","NO","PASSIVE",166,80
"MALE",55,"SECONDARY","MARRIED",1200,"MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED",20,"NO","NO","NO","NONE",178,103
"MALE",50,"VOCATIONAL/GRAMMAR","WIDOWED",1260,"MIXED","IT`S DIFFICULT TO TELL",10,"YES","NO","NO","NONE",178,85
"MALE",56,"PRIMARY/NO EDUCATION","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","YES","NONE",170,90
"MALE",62,"VOCATIONAL/GRAMMAR","MARRIED",1000,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",178,68
"FEMALE",61,"SECONDARY","MARRIED",548,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","PASSIVE",170,70
"FEMALE",22,"SECONDARY","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","ACTIVE",175,58
"FEMALE",63,"PRIMARY/NO EDUCATION","MARRIED",0,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",173,80
"FEMALE",58,"SECONDARY","DIVORCED",1300,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","YES","NONE",160,80
"MALE",29,"SECONDARY","MARRIED",1000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",10,"YES","NO","YES","PASSIVE",170,70
"FEMALE",28,"VOCATIONAL/GRAMMAR","SINGLE",0,"PLEASED","MOST PEOPLE CAN BE TRUSTED",4,"NO","NO","NO","PASSIVE",158,67
"MALE",42,"VOCATIONAL/GRAMMAR","MARRIED",2300,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",10,"YES","YES","NO","NONE",183,86
"MALE",65,"VOCATIONAL/GRAMMAR","MARRIED",1000,"PLEASED","ONE CAN`T BE TOO CAREFUL",20,"NO","NO","NO","NONE",174,80
"FEMALE",87,"PRIMARY/NO EDUCATION","WIDOWED",1000,"MIXED","ONE CAN`T BE TOO CAREFUL",9,"YES","NO","NO","NONE",158,52
"MALE",18,"VOCATIONAL/GRAMMAR","MARRIED",1240,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","NO","NONE",170,70
"FEMALE",61,"VOCATIONAL/GRAMMAR","MARRIED",500,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",10,"NO","NO","NO","NONE",167,58
"MALE",28,"VOCATIONAL/GRAMMAR","SINGLE",1000,"MIXED","ONE CAN`T BE TOO CAREFUL",2,"YES","NO","NO","NONE",173,75
"MALE",44,"SECONDARY","SINGLE",600,"PLEASED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","ACTIVE",176,100
"FEMALE",39,"SECONDARY","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","NO","PASSIVE",165,90
"FEMALE",43,"VOCATIONAL/GRAMMAR","MARRIED",1600,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",2,"NO","NO","NO","NONE",158,54
"FEMALE",36,"VOCATIONAL/GRAMMAR","MARRIED",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","PASSIVE",160,60
"FEMALE",66,"VOCATIONAL/GRAMMAR","WIDOWED",1300,"PLEASED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",160,60
"MALE",40,"VOCATIONAL/GRAMMAR","MARRIED",1500,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",170,84
"MALE",45,"VOCATIONAL/GRAMMAR","MARRIED",4200,"PLEASED","MOST PEOPLE CAN BE TRUSTED",10,"NO","YES","YES","NONE",180,81
"FEMALE",21,"SECONDARY","SINGLE",1540,"PLEASED","IT`S DIFFICULT TO TELL",6,"NO","NO","NO","PASSIVE",162,79
"MALE",40,"VOCATIONAL/GRAMMAR","SINGLE",900,"PLEASED","IT`S DIFFICULT TO TELL",10,"NO","NO","NO","NONE",176,99
"MALE",24,"POST-SECONDARY OR HIGHER","SINGLE",1180,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","ACTIVE",177,62
"FEMALE",37,"SECONDARY","DIVORCED",2200,"MIXED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","NONE",165,64
"MALE",49,"SECONDARY","MARRIED",1450,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",175,103
"FEMALE",54,"VOCATIONAL/GRAMMAR","WIDOWED",1300,"PLEASED","ONE CAN`T BE TOO CAREFUL",0,"NO","NO","NO","NONE",167,80
"FEMALE",62,"VOCATIONAL/GRAMMAR","MARRIED",1330,"PLEASED","ONE CAN`T BE TOO CAREFUL",15,"YES","NO","NO","NONE",160,56
