"sex","age","edu","marital","income","ls","trust","nofriend","smoke","alcabuse","wkabint","englang","height","weight"
"MALE",83,"PRIMARY/NO EDUCATION","MARRIED",1600,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",166,68
"FEMALE",21,"SECONDARY","SINGLE",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","PASSIVE",160,60
"FEMALE",37,"SECONDARY","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",164,60
"FEMALE",80,"PRIMARY/NO EDUCATION","MARRIED",1200,"MIXED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",150,80
"MALE",29,"POST-SECONDARY OR HIGHER","MARRIED",2300,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","ACTIVE",196,101
"MALE",48,"VOCATIONAL/GRAMMAR","MARRIED",1700,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",180,85
"FEMALE",57,"SECONDARY","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",158,57
"MALE",57,"SECONDARY","MARRIED",3000,"PLEASED","IT`S DIFFICULT TO TELL",10,"NO","NO","NO","NONE",178,90
"MALE",55,"VOCATIONAL/GRAMMAR","MARRIED",2000,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",5,"YES","NO","NO","NONE",176,90
"FEMALE",75,"PRIMARY/NO EDUCATION","MARRIED",901,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",147,67
"FEMALE",81,"PRIMARY/NO EDUCATION","MARRIED",1040,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",15,"NO","NO","NO","NONE",160,82
"FEMALE",64,"SECONDARY","MARRIED",750,"MIXED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","NONE",156,70
"FEMALE",19,"VOCATIONAL/GRAMMAR","SINGLE",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",171,48
"MALE",30,"VOCATIONAL/GRAMMAR","MARRIED",3500,"PLEASED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","PASSIVE",178,85
"FEMALE",58,"POST-SECONDARY OR HIGHER","DIVORCED",1200,"MIXED","IT`S DIFFICULT TO TELL",3,"NO","NO","YES","NONE",158,72
"FEMALE",20,"SECONDARY","SINGLE",0,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",4,"NO","NO","NO","PASSIVE",168,63
"FEMALE",55,"VOCATIONAL/GRAMMAR","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",156,75
"FEMALE",75,"PRIMARY/NO EDUCATION","DIVORCED",953,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",150,82
"FEMALE",58,"PRIMARY/NO EDUCATION","MARRIED",680,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",1,"NO","NO","NO","NONE",155,100
"FEMALE",45,"POST-SECONDARY OR HIGHER","MARRIED",1000,"MIXED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","ACTIVE",162,64
"FEMALE",43,"VOCATIONAL/GRAMMAR","MARRIED",3000,"MOSTLY DISSATISFIED","IT`S DIFFICULT TO TELL",0,"YES","YES","NO","NONE",166,66
"MALE",56,"PRIMARY/NO EDUCATION","WIDOWED",100,"TERRIBLE","IT`S DIFFICULT TO TELL",1,"YES","NO","NO","NONE",172,55
"MALE",39,"PRIMARY/NO EDUCATION","SINGLE",1100,"MOSTLY DISSATISFIED","IT`S DIFFICULT TO TELL",5,"YES","YES","NO","NONE",182,84
"FEMALE",38,"VOCATIONAL/GRAMMAR","MARRIED",1000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",2,"YES","NO","NO","NONE",164,70
"FEMALE",44,"SECONDARY","MARRIED",2000,"PLEASED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",164,63
"MALE",62,"SECONDARY","MARRIED",3500,"MIXED","ONE CAN`T BE TOO CAREFUL",0,"NO","NO","NO","NONE",179,79
"MALE",42,"VOCATIONAL/GRAMMAR","SINGLE",2000,"MIXED","ONE CAN`T BE TOO CAREFUL",2,"YES","NO","NO","NONE",176,80
"MALE",26,"VOCATIONAL/GRAMMAR","SINGLE",0,"MIXED","IT`S DIFFICULT TO TELL",50,"NO","NO","NO","NONE",180,90
"FEMALE",67,"POST-SECONDARY OR HIGHER","MARRIED",1880,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","NONE",158,65
"MALE",30,"VOCATIONAL/GRAMMAR","MARRIED",2420,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"YES","YES","NO","NONE",165,60
"MALE",39,"VOCATIONAL/GRAMMAR","MARRIED",3000,"PLEASED","IT`S DIFFICULT TO TELL",5,"NO","YES","NO","NONE",180,90
"FEMALE",70,"SECONDARY","WIDOWED",1448,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"YES","NO","NO","PASSIVE",168,74
"FEMALE",55,"SECONDARY","WIDOWED",2400,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",1,"NO","NO","NO","NONE",170,75
"FEMALE",48,"VOCATIONAL/GRAMMAR","MARRIED",1200,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","NO","NONE",164,58
"MALE",35,"POST-SECONDARY OR HIGHER","MARRIED",15000,"PLEASED","ONE CAN`T BE TOO CAREFUL",1,"NO","NO","YES","ACTIVE",177,74
"FEMALE",78,"PRIMARY/NO EDUCATION","WIDOWED",0,"MIXED","ONE CAN`T BE TOO CAREFUL",0,"NO","NO","NO","NONE",158,65
"MALE",46,"POST-SECONDARY OR HIGHER","MARRIED",3500,"PLEASED","IT`S DIFFICULT TO TELL",5,"NO","NO","NO","PASSIVE",172,80
"MALE",50,"VOCATIONAL/GRAMMAR","SINGLE",560,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",2,"YES","NO","NO","NONE",190,80
"MALE",44,"VOCATIONAL/GRAMMAR","MARRIED",300,"MIXED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","NONE",169,104
"FEMALE",18,"SECONDARY","SINGLE",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","ACTIVE",171,54
"FEMALE",32,"SECONDARY","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",4,"YES","NO","NO","PASSIVE",165,80
"FEMALE",56,"SECONDARY","MARRIED",1700,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",176,88
"MALE",62,"PRIMARY/NO EDUCATION","MARRIED",750,"MIXED","ONE CAN`T BE TOO CAREFUL",5,"YES","NO","NO","NONE",167,70
"FEMALE",29,"SECONDARY","MARRIED",1300,"PLEASED","MOST PEOPLE CAN BE TRUSTED",20,"YES","NO","NO","PASSIVE",170,95
"FEMALE",39,"VOCATIONAL/GRAMMAR","WIDOWED",900,"PLEASED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",160,86
"MALE",56,"PRIMARY/NO EDUCATION","MARRIED",1500,"PLEASED","ONE CAN`T BE TOO CAREFUL",20,"YES","YES","NO","NONE",176,70
"FEMALE",61,"SECONDARY","MARRIED",1800,"PLEASED","ONE CAN`T BE TOO CAREFUL",15,"NO","NO","NO","PASSIVE",164,83
"FEMALE",61,"SECONDARY","MARRIED",800,"DELIGHTED","ONE CAN`T BE TOO CAREFUL",15,"NO","NO","NO","NONE",162,58
"FEMALE",86,"PRIMARY/NO EDUCATION","WIDOWED",800,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",40,"NO","NO","NO","NONE",150,50
"MALE",52,"VOCATIONAL/GRAMMAR","MARRIED",1500,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","YES","NONE",170,73
"FEMALE",51,"VOCATIONAL/GRAMMAR","MARRIED",520,"MOSTLY DISSATISFIED","MOST PEOPLE CAN BE TRUSTED",2,"YES","NO","NO","NONE",170,80
"MALE",24,"SECONDARY","SINGLE",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","PASSIVE",180,76
"MALE",54,"VOCATIONAL/GRAMMAR","MARRIED",7000,"MIXED","ONE CAN`T BE TOO CAREFUL",20,"YES","YES","YES","NONE",182,100
"MALE",75,"SECONDARY","MARRIED",1700,"MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED",2,"NO","NO","NO","NONE",168,83
"FEMALE",70,"SECONDARY","MARRIED",1050,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",154,80
"FEMALE",40,"SECONDARY","MARRIED",1400,"PLEASED","ONE CAN`T BE TOO CAREFUL",33,"NO","NO","NO","NONE",164,60
"MALE",30,"VOCATIONAL/GRAMMAR","MARRIED",1500,"MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED",6,"YES","NO","NO","NONE",176,80
"FEMALE",35,"POST-SECONDARY OR HIGHER","MARRIED",2000,"PLEASED","ONE CAN`T BE TOO CAREFUL",11,"NO","NO","NO","ACTIVE",172,80
"MALE",50,"SECONDARY","MARRIED",3000,"PLEASED","MOST PEOPLE CAN BE TRUSTED",4,"NO","NO","NO","NONE",173,77
"MALE",19,"VOCATIONAL/GRAMMAR","SINGLE",0,"MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED",17,"NO","NO","NO","ACTIVE",185,70
"FEMALE",43,"SECONDARY","MARRIED",1700,"PLEASED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",162,80
"FEMALE",41,"POST-SECONDARY OR HIGHER","SINGLE",2100,"PLEASED","ONE CAN`T BE TOO CAREFUL",21,"NO","NO","NO","PASSIVE",168,50
"MALE",55,"VOCATIONAL/GRAMMAR","MARRIED",1300,"PLEASED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",165,84
"FEMALE",43,"VOCATIONAL/GRAMMAR","WIDOWED",1000,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",164,82
"MALE",51,"VOCATIONAL/GRAMMAR","MARRIED",2500,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",10,"YES","NO","NO","NONE",180,83
"FEMALE",76,"SECONDARY","MARRIED",800,"DELIGHTED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",158,62
"FEMALE",36,"SECONDARY","MARRIED",1000,"PLEASED","ONE CAN`T BE TOO CAREFUL",4,"YES","NO","NO","PASSIVE",165,70
"FEMALE",29,"SECONDARY","MARRIED",500,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","ACTIVE",168,70
"FEMALE",55,"VOCATIONAL/GRAMMAR","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",156,73
"MALE",27,"POST-SECONDARY OR HIGHER","SINGLE",1900,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","ACTIVE",179,77
"FEMALE",27,"SECONDARY","MARRIED",0,"MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED",4,"NO","NO","NO","NONE",162,63
"FEMALE",50,"VOCATIONAL/GRAMMAR","DIVORCED",1500,"MIXED","IT`S DIFFICULT TO TELL",4,"YES","NO","YES","NONE",156,96
"FEMALE",24,"POST-SECONDARY OR HIGHER","SINGLE",1000,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","YES","ACTIVE",170,65
"FEMALE",63,"PRIMARY/NO EDUCATION","MARRIED",1500,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","NO","NONE",150,50
"MALE",30,"VOCATIONAL/GRAMMAR","SINGLE",1400,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","PASSIVE",175,80
"FEMALE",59,"POST-SECONDARY OR HIGHER","MARRIED",1392,"MIXED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",158,85
"FEMALE",25,"POST-SECONDARY OR HIGHER","SINGLE",1500,"PLEASED","MOST PEOPLE CAN BE TRUSTED",7,"NO","NO","NO","ACTIVE",168,61
"FEMALE",55,"POST-SECONDARY OR HIGHER","MARRIED",2300,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","PASSIVE",156,89
"FEMALE",44,"VOCATIONAL/GRAMMAR","MARRIED",1600,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",4,"YES","NO","NO","NONE",170,80
"FEMALE",56,"VOCATIONAL/GRAMMAR","MARRIED",1000,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","NONE",160,75
"FEMALE",48,"SECONDARY","MARRIED",1500,"PLEASED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","NO","NONE",160,63
"FEMALE",24,"SECONDARY","MARRIED",1000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","YES","ACTIVE",170,54
"MALE",24,"SECONDARY","SINGLE",1800,"MOSTLY DISSATISFIED","IT`S DIFFICULT TO TELL",10,"NO","NO","YES","PASSIVE",170,80
"MALE",46,"VOCATIONAL/GRAMMAR","MARRIED",1500,"PLEASED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",168,97
"FEMALE",36,"POST-SECONDARY OR HIGHER","SINGLE",1500,"PLEASED","MOST PEOPLE CAN BE TRUSTED",30,"NO","NO","NO","NONE",160,56
"FEMALE",18,"SECONDARY","SINGLE",0,"DELIGHTED","IT`S DIFFICULT TO TELL",2,"NO","NO","NO","ACTIVE",189,69
"MALE",27,"VOCATIONAL/GRAMMAR","MARRIED",1076,"PLEASED","ONE CAN`T BE TOO CAREFUL",1,"YES","NO","YES","NONE",180,80
"FEMALE",19,"VOCATIONAL/GRAMMAR","SINGLE",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","NONE",164,80
"FEMALE",34,"POST-SECONDARY OR HIGHER","MARRIED",8255,"PLEASED","MOST PEOPLE CAN BE TRUSTED",12,"NO","NO","NO","ACTIVE",166,52
"FEMALE",53,"SECONDARY","MARRIED",1200,"MIXED","MOST PEOPLE CAN BE TRUSTED",4,"NO","NO","NO","NONE",164,73
"MALE",66,"POST-SECONDARY OR HIGHER","MARRIED",3000,"PLEASED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","PASSIVE",175,84
"FEMALE",62,"VOCATIONAL/GRAMMAR","MARRIED",1000,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",170,78
"FEMALE",51,"SECONDARY","MARRIED",800,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",156,53
"FEMALE",76,"PRIMARY/NO EDUCATION","WIDOWED",1100,"MIXED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",160,65
"MALE",38,"VOCATIONAL/GRAMMAR","MARRIED",800,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",8,"YES","NO","NO","NONE",187,80
"FEMALE",37,"POST-SECONDARY OR HIGHER","DIVORCED",4200,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","PASSIVE",164,60
"MALE",38,"VOCATIONAL/GRAMMAR","MARRIED",600,"MIXED","ONE CAN`T BE TOO CAREFUL",0,"YES","NO","NO","NONE",176,86
"MALE",52,"VOCATIONAL/GRAMMAR","SINGLE",0,"MIXED","IT`S DIFFICULT TO TELL",5,"NO","NO","NO","NONE",163,67
"FEMALE",56,"SECONDARY","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","NO","NONE",152,56
"MALE",57,"VOCATIONAL/GRAMMAR","MARRIED",860,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",0,"NO","NO","NO","NONE",175,75
"FEMALE",43,"POST-SECONDARY OR HIGHER","MARRIED",2300,"PLEASED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","NONE",160,60
"MALE",23,"SECONDARY","SINGLE",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",20,"NO","NO","NO","ACTIVE",181,85
"FEMALE",65,"VOCATIONAL/GRAMMAR","WIDOWED",4200,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",165,72
"MALE",50,"SECONDARY","MARRIED",2000,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"YES","NO","NO","NONE",170,70
"MALE",35,"VOCATIONAL/GRAMMAR","MARRIED",600,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","YES","NONE",180,96
"FEMALE",63,"PRIMARY/NO EDUCATION","MARRIED",660,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","NONE",152,62
"MALE",47,"SECONDARY","MARRIED",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",2,"NO","YES","NO","NONE",176,92
"FEMALE",60,"SECONDARY","MARRIED",1300,"PLEASED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",153,51
"FEMALE",17,"VOCATIONAL/GRAMMAR","SINGLE",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","ACTIVE",164,55
"FEMALE",50,"VOCATIONAL/GRAMMAR","MARRIED",1000,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",155,77
"FEMALE",81,"SECONDARY","WIDOWED",1480,"PLEASED","ONE CAN`T BE TOO CAREFUL",20,"NO","NO","NO","NONE",153,58
"FEMALE",39,"VOCATIONAL/GRAMMAR","MARRIED",0,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",20,"NO","NO","NO","NONE",168,53
"MALE",69,"PRIMARY/NO EDUCATION","MARRIED",960,"PLEASED","ONE CAN`T BE TOO CAREFUL",12,"NO","NO","NO","NONE",170,76
"FEMALE",33,"POST-SECONDARY OR HIGHER","MARRIED",1400,"PLEASED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","ACTIVE",165,53
"MALE",41,"POST-SECONDARY OR HIGHER","MARRIED",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","NONE",173,80
"FEMALE",21,"SECONDARY","SINGLE",1200,"MIXED","IT`S DIFFICULT TO TELL",2,"NO","NO","NO","ACTIVE",178,50
"MALE",61,"SECONDARY","MARRIED",3200,"DELIGHTED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","NONE",182,92
"MALE",76,"VOCATIONAL/GRAMMAR","MARRIED",1200,"MIXED","ONE CAN`T BE TOO CAREFUL",1,"NO","NO","NO","NONE",176,72
"FEMALE",54,"PRIMARY/NO EDUCATION","MARRIED",0,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",164,75
