"age","workclass","education","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
35,"Private","11th","Separated","Other-service","Unmarried","White","Male",0,0,20,"United-States","<=50K"
45,"Private","Assoc-voc","Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
30,"Private","HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","Asian-Pac-Islander","Male",0,0,40,"Asia",">50K"
43,"Self-emp-inc","Some-college","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,70,"United-States",">50K"
32,"State-gov","Masters","Never-married","Adm-clerical","Not-in-family","White","Female",0,0,38,"United-States","<=50K"
35,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,42,"United-States","<=50K"
32,"Private","Assoc-voc","Divorced","Other-service","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
61,"Private","Assoc-voc","Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States",">50K"
40,"State-gov","Masters","Divorced","Exec-managerial","Unmarried","White","Female",1506,0,40,"United-States","<=50K"
42,"Self-emp-inc","Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,60,"United-States",">50K"
21,"Private","Some-college","Never-married","Sales","Unmarried","White","Female",0,0,35,"United-States","<=50K"
21,"Private","Some-college","Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K"
26,"Private","Bachelors","Never-married","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
36,"State-gov","HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States",">50K"
24,"Private","Bachelors","Married-civ-spouse","Sales","Other-relative","White","Male",0,0,40,"United-States","<=50K"
47,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,57,"United-States",">50K"
51,"Private","Assoc-acdm","Divorced","Tech-support","Not-in-family","White","Male",0,0,30,"United-States","<=50K"
67,"Private","Some-college","Widowed","Sales","Not-in-family","White","Female",0,0,25,"South-America","<=50K"
49,"Private","HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,25,"United-States","<=50K"
58,"Private","Assoc-voc","Married-civ-spouse","Craft-repair","Husband","White","Male",0,1887,48,"United-States",">50K"
61,"Private","7th-8th","Divorced","Machine-op-inspct","Unmarried","White","Female",0,0,40,"United-States","<=50K"
36,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,35,"United-States","<=50K"
19,"Private","Some-college","Never-married","Tech-support","Other-relative","Asian-Pac-Islander","Male",0,0,40,"Asia","<=50K"
29,"Self-emp-not-inc","Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,35,"United-States","<=50K"
43,"Private","Bachelors","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1887,40,"United-States",">50K"
60,"Self-emp-not-inc","HS-grad","Divorced","Sales","Not-in-family","Black","Male",2597,0,55,"United-States","<=50K"
21,"Private","Some-college","Never-married","Sales","Unmarried","White","Male",0,0,40,"United-States","<=50K"
22,"Private","HS-grad","Separated","Sales","Unmarried","White","Female",0,0,40,"United-States","<=50K"
33,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,65,"United-States",">50K"
36,"Private","Bachelors","Never-married","Sales","Not-in-family","Asian-Pac-Islander","Female",0,0,50,"Asia","<=50K"
37,"Private","Bachelors","Never-married","Transport-moving","Not-in-family","White","Male",0,0,46,"United-States","<=50K"
35,"Private","Assoc-acdm","Married-AF-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States","<=50K"
17,"Private","10th","Never-married","Priv-house-serv","Own-child","White","Male",0,0,30,"United-States","<=50K"
37,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States",">50K"
28,"Private","Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
42,"Private","Some-college","Divorced","Machine-op-inspct","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
57,"Self-emp-inc","HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male",5178,0,60,"Europe",">50K"
26,"Private","Some-college","Never-married","Farming-fishing","Other-relative","White","Female",0,0,65,"United-States","<=50K"
45,"Local-gov","11th","Married-civ-spouse","Other-service","Husband","Black","Male",0,0,50,"United-States","<=50K"
32,"Private","Bachelors","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,44,"United-States",">50K"
63,"Private","Some-college","Widowed","Adm-clerical","Unmarried","White","Female",0,0,43,"United-States","<=50K"
22,"Private","Some-college","Never-married","Prof-specialty","Other-relative","Asian-Pac-Islander","Female",0,0,20,"Asia","<=50K"
36,"Private","Some-college","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,55,"United-States",">50K"
45,"State-gov","HS-grad","Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States","<=50K"
34,"Self-emp-not-inc","Prof-school","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,55,"United-States",">50K"
27,"State-gov","Bachelors","Never-married","Prof-specialty","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
47,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,56,"United-States",">50K"
46,"Private","7th-8th","Never-married","Other-service","Own-child","White","Male",0,0,52,"United-States","<=50K"
28,"Private","Some-college","Never-married","Machine-op-inspct","Own-child","White","Female",0,0,40,"United-States","<=50K"
45,"Private","HS-grad","Never-married","Handlers-cleaners","Other-relative","White","Male",0,0,40,"United-States","<=50K"
26,"Private","Bachelors","Never-married","Adm-clerical","Own-child","Asian-Pac-Islander","Female",0,0,40,"Asia","<=50K"
32,"Self-emp-not-inc","10th","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States","<=50K"
30,"Local-gov","12th","Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States","<=50K"
59,"Private","10th","Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"OtherUS","<=50K"
58,"State-gov","Doctorate","Never-married","Exec-managerial","Not-in-family","White","Female",0,0,43,"United-States",">50K"
45,"Private","Some-college","Divorced","Handlers-cleaners","Not-in-family","White","Male",0,0,30,"United-States","<=50K"
76,"Self-emp-not-inc","Some-college","Widowed","Transport-moving","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
38,"Private","HS-grad","Divorced","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
32,"Private","Masters","Never-married","Sales","Own-child","Black","Male",0,0,40,"United-States","<=50K"
38,"Self-emp-not-inc","HS-grad","Divorced","Farming-fishing","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
30,"Private","Assoc-acdm","Never-married","Prof-specialty","Unmarried","Black","Female",0,0,36,"United-States","<=50K"
53,"Self-emp-inc","Assoc-voc","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"Europe",">50K"
27,"State-gov","Bachelors","Never-married","Prof-specialty","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
44,"Local-gov","Assoc-acdm","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,30,"United-States","<=50K"
35,"Private","Masters","Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,0,50,"United-States",">50K"
36,"Private","1st-4th","Never-married","Other-service","Other-relative","Other","Female",0,0,40,"South-America","<=50K"
51,"Private","Some-college","Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,10,"United-States",">50K"
42,"Local-gov","HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
40,"Self-emp-not-inc","Bachelors","Married-AF-spouse","Prof-specialty","Husband","White","Male",7298,0,50,"United-States",">50K"
45,"Private","HS-grad","Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","<=50K"
55,"Private","9th","Divorced","Craft-repair","Unmarried","White","Female",99999,0,37,"United-States",">50K"
36,"Private","7th-8th","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
57,"Federal-gov","HS-grad","Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States",">50K"
27,"Private","HS-grad","Divorced","Tech-support","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
62,"Private","Masters","Never-married","Handlers-cleaners","Not-in-family","White","Male",4650,0,40,"United-States","<=50K"
29,"Private","Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,55,"United-States","<=50K"
38,"Self-emp-not-inc","Bachelors","Never-married","Craft-repair","Not-in-family","Amer-Indian-Eskimo","Male",0,0,30,"United-States","<=50K"
29,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K"
32,"Local-gov","Masters","Never-married","Prof-specialty","Not-in-family","White","Female",4865,0,40,"United-States","<=50K"
34,"Private","Bachelors","Never-married","Exec-managerial","Not-in-family","White","Male",0,1741,40,"United-States","<=50K"
25,"Private","Assoc-acdm","Never-married","Prof-specialty","Not-in-family","White","Male",0,0,55,"United-States","<=50K"
34,"Local-gov","Masters","Never-married","Prof-specialty","Not-in-family","White","Male",0,0,35,"United-States","<=50K"
37,"State-gov","Some-college","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,38,"United-States","<=50K"
37,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States","<=50K"
18,"Private","HS-grad","Never-married","Handlers-cleaners","Own-child","White","Male",0,0,25,"United-States","<=50K"
24,"Private","Assoc-voc","Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K"
17,"Private","12th","Never-married","Other-service","Own-child","White","Female",0,0,30,"United-States","<=50K"
35,"Private","Bachelors","Divorced","Sales","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
31,"Private","Assoc-voc","Separated","Tech-support","Unmarried","Black","Female",0,0,32,"United-States","<=50K"
29,"Private","Assoc-acdm","Never-married","Craft-repair","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
49,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
35,"Federal-gov","HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","<=50K"
55,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K"
37,"Private","5th-6th","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Mexico","<=50K"
33,"Local-gov","Some-college","Never-married","Adm-clerical","Unmarried","Black","Female",0,0,18,"United-States","<=50K"
49,"Private","Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States",">50K"
32,"Private","HS-grad","Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,45,"United-States","<=50K"
39,"Private","Masters","Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
42,"Local-gov","HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"South-America","<=50K"
30,"State-gov","Masters","Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,50,"United-States",">50K"
30,"Private","Assoc-voc","Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
48,"Self-emp-inc","HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States",">50K"
57,"Self-emp-not-inc","Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,10,"United-States","<=50K"
56,"Private","10th","Divorced","Other-service","Unmarried","Black","Female",0,0,45,"United-States","<=50K"
28,"Private","Some-college","Never-married","Protective-serv","Own-child","White","Male",0,0,40,"South-America","<=50K"
43,"Private","Bachelors","Married-civ-spouse","Tech-support","Husband","White","Male",0,0,24,"United-States",">50K"
46,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","<=50K"
60,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,45,"United-States",">50K"
50,"Local-gov","Masters","Divorced","Prof-specialty","Unmarried","White","Female",0,0,65,"United-States","<=50K"
37,"Private","Prof-school","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
41,"Private","HS-grad","Divorced","Priv-house-serv","Other-relative","Black","Female",0,0,40,"United-States","<=50K"
38,"Private","Some-college","Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,38,"United-States",">50K"
23,"Private","Some-college","Never-married","Other-service","Own-child","White","Female",0,0,40,"United-States","<=50K"
59,"Private","Some-college","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
72,"Private","Masters","Never-married","Prof-specialty","Not-in-family","White","Male",2329,0,60,"United-States","<=50K"
47,"Local-gov","Some-college","Divorced","Adm-clerical","Not-in-family","White","Female",0,0,33,"United-States","<=50K"
29,"Private","Assoc-voc","Never-married","Craft-repair","Other-relative","White","Male",0,0,40,"United-States","<=50K"
35,"Private","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States","<=50K"
24,"Private","Some-college","Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,15,"United-States","<=50K"
22,"Private","HS-grad","Never-married","Sales","Unmarried","White","Female",0,0,40,"United-States","<=50K"
24,"Private","HS-grad","Never-married","Exec-managerial","Own-child","White","Male",0,0,40,"United-States","<=50K"
42,"Private","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",7298,0,45,"United-States",">50K"
40,"State-gov","Masters","Divorced","Prof-specialty","Unmarried","White","Female",0,0,20,"United-States","<=50K"
61,"Private","HS-grad","Divorced","Adm-clerical","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"Asia","<=50K"
58,"Self-emp-not-inc","Bachelors","Never-married","Farming-fishing","Own-child","White","Male",0,0,72,"United-States","<=50K"
39,"State-gov","HS-grad","Divorced","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
45,"Self-emp-not-inc","Some-college","Divorced","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
25,"Private","HS-grad","Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,45,"United-States","<=50K"
34,"Private","Assoc-voc","Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"United-States",">50K"
45,"Private","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States",">50K"
28,"Private","Some-college","Separated","Handlers-cleaners","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
27,"Private","Some-college","Never-married","Adm-clerical","Not-in-family","White","Female",0,0,60,"United-States","<=50K"
41,"State-gov","HS-grad","Never-married","Other-service","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
18,"State-gov","HS-grad","Never-married","Sales","Not-in-family","Black","Female",0,0,30,"United-States","<=50K"
44,"Private","Bachelors","Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States",">50K"
47,"Private","Assoc-voc","Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,45,"United-States",">50K"
36,"Local-gov","HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
66,"Private","Preschool","Widowed","Priv-house-serv","Other-relative","White","Female",0,0,40,"South-America","<=50K"
33,"Private","HS-grad","Divorced","Adm-clerical","Unmarried","White","Female",0,0,45,"United-States","<=50K"
39,"Local-gov","HS-grad","Divorced","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States",">50K"
30,"Private","HS-grad","Never-married","Transport-moving","Own-child","Black","Male",0,0,40,"United-States","<=50K"
34,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
62,"Self-emp-not-inc","Masters","Divorced","Prof-specialty","Unmarried","White","Female",0,0,32,"United-States","<=50K"
21,"Private","Some-college","Never-married","Adm-clerical","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
50,"Self-emp-inc","Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male",7298,0,50,"United-States",">50K"
30,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",3103,0,60,"United-States",">50K"
43,"Private","HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
19,"Private","Some-college","Never-married","Other-service","Other-relative","White","Female",0,0,40,"United-States","<=50K"
26,"Federal-gov","Assoc-voc","Never-married","Craft-repair","Own-child","White","Male",0,0,50,"Asia","<=50K"
50,"Private","7th-8th","Married-civ-spouse","Transport-moving","Husband","White","Male",0,1579,65,"Canada","<=50K"
45,"Federal-gov","Masters","Divorced","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States",">50K"
46,"Self-emp-inc","Masters","Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",">50K"
17,"Private","10th","Never-married","Other-service","Own-child","White","Male",0,0,15,"United-States","<=50K"
56,"Private","7th-8th","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
25,"Private","Some-college","Married-civ-spouse","Adm-clerical","Wife","Black","Female",3103,0,40,"United-States",">50K"
47,"Private","Masters","Separated","Machine-op-inspct","Unmarried","Asian-Pac-Islander","Female",0,0,42,"Asia","<=50K"
23,"Private","HS-grad","Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States","<=50K"
51,"Self-emp-not-inc","HS-grad","Separated","Other-service","Unmarried","White","Female",0,0,20,"United-States","<=50K"
19,"Private","Some-college","Never-married","Tech-support","Not-in-family","White","Female",0,0,25,"United-States","<=50K"
33,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
32,"Private","HS-grad","Divorced","Other-service","Unmarried","White","Female",0,0,80,"United-States","<=50K"
52,"Private","HS-grad","Divorced","Transport-moving","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
36,"Private","Some-college","Separated","Other-service","Other-relative","Black","Female",0,0,40,"United-States","<=50K"
34,"Private","HS-grad","Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
26,"Self-emp-inc","12th","Married-civ-spouse","Sales","Husband","Other","Male",0,0,98,"South-America","<=50K"
35,"Local-gov","Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
58,"Federal-gov","Bachelors","Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States",">50K"
32,"Private","11th","Divorced","Craft-repair","Own-child","White","Male",0,0,50,"United-States","<=50K"
23,"Private","Some-college","Never-married","Other-service","Other-relative","White","Female",0,0,40,"United-States","<=50K"
28,"Self-emp-not-inc","Some-college","Never-married","Machine-op-inspct","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
20,"Private","10th","Never-married","Other-service","Other-relative","White","Male",0,0,35,"Mexico","<=50K"
17,"Private","10th","Never-married","Other-service","Own-child","White","Male",0,0,20,"United-States","<=50K"
56,"Private","HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male",3103,0,45,"United-States",">50K"
26,"Private","HS-grad","Divorced","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
43,"State-gov","Bachelors","Divorced","Prof-specialty","Unmarried","White","Female",1506,0,36,"United-States","<=50K"
45,"Self-emp-not-inc","Some-college","Never-married","Prof-specialty","Not-in-family","White","Male",0,0,35,"United-States","<=50K"
34,"Private","Some-college","Married-civ-spouse","Exec-managerial","Wife","White","Female",7688,0,50,"United-States",">50K"
54,"Private","1st-4th","Married-civ-spouse","Other-service","Husband","White","Male",0,0,35,"Mexico","<=50K"
51,"Local-gov","HS-grad","Widowed","Other-service","Unmarried","White","Female",0,0,40,"United-States","<=50K"
58,"Self-emp-not-inc","Some-college","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,60,"United-States","<=50K"
49,"Private","Assoc-acdm","Separated","Adm-clerical","Not-in-family","White","Female",2597,0,40,"United-States","<=50K"
21,"Private","Assoc-voc","Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
44,"Private","Some-college","Never-married","Other-service","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
26,"Private","Bachelors","Never-married","Exec-managerial","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
39,"Private","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
37,"Private","Some-college","Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","<=50K"
49,"Private","HS-grad","Divorced","Adm-clerical","Not-in-family","White","Male",0,0,32,"United-States","<=50K"
45,"Private","HS-grad","Separated","Machine-op-inspct","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
60,"Federal-gov","HS-grad","Never-married","Adm-clerical","Not-in-family","Black","Female",0,0,40,"United-States","<=50K"
28,"Federal-gov","Bachelors","Never-married","Exec-managerial","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
23,"Private","Some-college","Married-civ-spouse","Machine-op-inspct","Husband","Amer-Indian-Eskimo","Male",0,0,30,"United-States","<=50K"
44,"Private","Bachelors","Never-married","Prof-specialty","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
19,"State-gov","Some-college","Never-married","Farming-fishing","Own-child","White","Male",0,0,12,"United-States","<=50K"
37,"Private","HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
41,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,38,"United-States","<=50K"
56,"Federal-gov","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,40,"United-States",">50K"
44,"Private","Assoc-acdm","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,54,"United-States",">50K"
30,"Private","Bachelors","Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,36,"Asia",">50K"
23,"Private","Bachelors","Never-married","Sales","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
44,"Private","HS-grad","Married-civ-spouse","Exec-managerial","Wife","White","Female",3103,0,40,"United-States",">50K"
38,"Private","HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,70,"United-States",">50K"
32,"Private","Some-college","Married-civ-spouse","Sales","Husband","White","Male",5178,0,50,"United-States",">50K"
57,"Self-emp-not-inc","Masters","Never-married","Farming-fishing","Not-in-family","White","Male",0,0,20,"United-States","<=50K"
35,"Private","Prof-school","Married-civ-spouse","Prof-specialty","Husband","White","Male",7688,0,50,"United-States",">50K"
48,"Self-emp-not-inc","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",99999,0,50,"United-States",">50K"
32,"Local-gov","Some-college","Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,99,"United-States","<=50K"
76,"Federal-gov","Masters","Widowed","Prof-specialty","Not-in-family","White","Female",0,0,15,"United-States","<=50K"
57,"Local-gov","HS-grad","Divorced","Handlers-cleaners","Not-in-family","Black","Female",0,0,30,"United-States","<=50K"
51,"Private","Masters","Married-civ-spouse","Exec-managerial","Husband","White","Male",7298,0,50,"United-States",">50K"
50,"Private","10th","Married-civ-spouse","Other-service","Husband","Black","Male",0,0,40,"United-States","<=50K"
38,"Private","HS-grad","Married-AF-spouse","Other-service","Wife","White","Female",0,0,25,"United-States","<=50K"
53,"Private","HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male",0,2002,40,"United-States","<=50K"
59,"Self-emp-not-inc","7th-8th","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,20,"United-States","<=50K"
23,"Private","HS-grad","Never-married","Transport-moving","Own-child","White","Male",0,0,40,"United-States","<=50K"
44,"Private","Assoc-voc","Divorced","Exec-managerial","Not-in-family","White","Male",8614,0,40,"United-States",">50K"
23,"Private","Bachelors","Never-married","Sales","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
23,"Private","Assoc-acdm","Never-married","Sales","Own-child","White","Male",0,0,20,"United-States","<=50K"
44,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
30,"Private","HS-grad","Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States","<=50K"
28,"Private","HS-grad","Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K"
46,"Private","Some-college","Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
34,"Local-gov","Preschool","Never-married","Adm-clerical","Own-child","Black","Female",0,0,25,"United-States","<=50K"
38,"Private","Bachelors","Separated","Exec-managerial","Not-in-family","White","Male",27828,0,45,"United-States",">50K"
26,"Private","Some-college","Never-married","Sales","Not-in-family","Black","Female",0,0,37,"United-States","<=50K"
39,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
28,"Private","Some-college","Never-married","Sales","Own-child","Black","Male",0,0,40,"United-States","<=50K"
